"PLOS"	"Zootaxa"	"BMC"
96045	127009	374863
96048	127095	374965
96092	127114	375040
96135	127124	375156
96204	127204	375236
96204	127277	375301
96204	127316	375330
96205	127475	375707
96205	127552	375909
96206	127585	375976
96206	127588	376031
96209	127637	376056
96211	127861	376079
96296	127895	376103
96301	128006	376169
96334	128071	376553
96390	128138	376610
96421	128149	376710
96585	128194	376792
96636	128223	376866
96636	128234	376898
96637	128401	377134
96656	128720	377184
96712	128736	377212
96817	128765	377251
96817	128782	377266
96817	128798	377422
96818	128810	377428
96818	128893	377460
96818	128934	377486
96818	128965	377489
96818	129092	377553
96818	129108	377659
96819	129165	377676
96823	129183	377900
96833	129195	378008
96900	129218	378101
97003	129375	378169
97093	129375	378172
97103	129460	378180
97152	129471	378424
97152	129527	378458
97155	129610	378504
97169	129714	378598
97187	129822	378785
97188	129908	379604
97239	130144	379660
97267	130159	379765
97283	130292	379810
97283	130306	379938
97349	130309	380075
97351	130343	380171
97352	130410	380245
97352	130450	380376
97353	130609	380423
